Rank;Bib;"FISCode";Name;YB;"NSACode";Time;Difference;"Distance(m)";Ski
1;41;561255;CATER Martin;1992;SLO;2:04.67;;;Stoeckli
2;26;54005;STRIEDINGER Otmar;1991;AUT;2:04.89;0.22;5,35;Salomon
3;14;512042;KRYENBUEHL Urs;1994;SUI;2:04.94;0.27;6,56;Fischer
4;5;422139;KILDE Aleksander Aamodt;1992;NOR;2:05.03;0.36;8,74;Atomic
5;15;191740;CLAREY Johan;1981;FRA;2:05.09;0.42;10,20;Head
6;9;511383;FEUZ Beat;1987;SUI;2:05.20;0.53;12,86;Head
7;27;200379;SANDER Andreas;1989;GER;2:05.24;0.57;13,82;Atomic
8;7;53902;MAYER Matthias;1990;AUT;2:05.26;0.59;14,30;Head
9;21;51215;BAUMANN Romed;1986;GER;2:05.27;0.60;14,55;Salomon
10;13;291459;PARIS Dominik;1989;ITA;2:05.29;0.62;15,03;Nordica
11;30;194858;ALLEGRE Nils;1994;FRA;2:05.36;0.69;16,72;Salomon
12;25;53817;FRANZ Max;1989;AUT;2:05.46;0.79;19,12;Fischer
13;10;6530319;COCHRAN-SIEGLE Ryan;1992;USA;2:05.48;0.81;19,60;Rossignol
14;39;194542;GIRAUD MOINE Valentin;1992;FRA;2:05.69;1.02;24,65;Salomon
15;28;422310;SEJERSTED Adrian Smiseth;1994;NOR;2:05.73;1.06;25,60;Atomic
16;34;511981;WEBER Ralph;1993;SUI;2:05.76;1.09;26,32;Head
16;1;511513;CAVIEZEL Mauro;1988;SUI;2:05.76;1.09;26,32;Atomic
18;17;511313;JANKA Carlo;1986;SUI;2:05.77;1.10;26,56;Rossignol
19;33;293550;MARSAGLIA Matteo;1985;ITA;2:05.79;1.12;27,04;Fischer
20;3;421483;JANSRUD Kjetil;1985;NOR;2:05.81;1.14;27,52;Head
21;24;202345;SCHWAIGER Dominik;1991;GER;2:05.87;1.20;28,95;Head
21;6;6190176;BAILET Matthieu;1996;FRA;2:05.87;1.20;28,95;Salomon
23;18;530874;GANONG Travis;1988;USA;2:05.91;1.24;29,91;Atomic
24;8;192746;THEAUX Adrien;1984;FRA;2:06.03;1.36;32,77;Head
24;2;6530104;BENNETT Bryce;1992;USA;2:06.03;1.36;32,77;Fischer
26;43;104468;READ Jeffrey;1997;CAN;2:06.09;1.42;34,20;Atomic
27;23;194368;RAFFORT Nicolas;1991;FRA;2:06.17;1.50;36,11;Rossignol
28;57;561216;KLINE Bostjan;1991;SLO;2:06.23;1.56;37,53;Nordica
29;46;53975;HEMETSBERGER Daniel;1991;AUT;2:06.27;1.60;38,48;Fischer
30;31;512269;ODERMATT Marco;1997;SUI;2:06.31;1.64;39,43;Stoeckli
31;50;501987;MONSEN Felix;1994;SWE;2:06.32;1.65;39,67;Atomic
32;42;54080;NEUMAYER Christopher;1992;AUT;2:06.40;1.73;41,57;Salomon
33;36;202525;SCHMID Manuel;1993;GER;2:06.44;1.77;42,51;Rossignol
34;4;54157;DANKLMAIER Daniel;1993;AUT;2:06.46;1.79;42,99;Atomic
35;49;6190179;ALPHAND Nils;1996;FRA;2:06.48;1.81;43,46;Head
36;44;54076;KOECK Niklas;1992;AUT;2:06.50;1.83;43,93;Atomic
36;37;512038;ROGENTIN Stefan;1994;SUI;2:06.50;1.83;43,93;Fischer
38;22;202059;FERSTL Josef;1988;GER;2:06.53;1.86;44,64;Head
39;55;6290845;BOSCA Guglielmo;1993;ITA;2:06.59;1.92;46,06;Head
40;16;50742;REICHELT Hannes;1980;AUT;2:06.73;2.06;49,37;Salomon
41;11;53980;KRIECHMAYR Vincent;1991;AUT;2:06.88;2.21;52,90;Head
42;58;202762;JOCHER Simon;1996;GER;2:06.93;2.26;54,07;Head
43;29;934643;GOLDBERG Jared;1991;USA;2:07.00;2.33;55,72;Head
44;56;104531;CRAWFORD James;1997;CAN;2:07.04;2.37;56,66;Head
Conditions on course:;;;;
SUNNY;Snow: COMPACT;Temperature - Start:;-8°C;Temperature - Finish: -6°C
