Rank;Bib;"FISCode";Name;YB;"NSACode";;Time;Difference;"Distance(m)";Ski
1;9;511383;FEUZ Beat;1987;SUI;1;55.29;;;Head
2;5;191740;CLAREY Johan;1981;FRA;1;55.46;0.17;4.88;Head
3;13;53902;MAYER Matthias;1990;AUT;1;55.67;0.38;10.88;Head
4;6;293006;INNERHOFER Christof;1984;ITA;1;56.15;0.86;24.52;Rossignol
5;3;51215;BAUMANN Romed;1986;GER;1;56.26;0.97;27.63;Salomon
6;8;200379;SANDER Andreas;1989;GER;1;56.29;1.00;28.48;Atomic
7;11;291459;PARIS Dominik;1989;ITA;1;56.47;1.18;33.56;Nordica
8;19;54005;STRIEDINGER Otmar;1991;AUT;1;56.49;1.20;34.12;Salomon
9;20;6190176;BAILET Matthieu;1996;FRA;1;56.51;1.22;34.68;Salomon
10;37;53975;HEMETSBERGER Daniel;1991;AUT;1;56.61;1.32;37.49;Fischer
10;16;512269;ODERMATT Marco;1997;SUI;1;56.61;1.32;37.49;Stoeckli
12;2;530874;GANONG Travis;1988;USA;1;56.64;1.35;38.33;Atomic
13;14;53817;FRANZ Max;1989;AUT;1;56.67;1.38;39.18;Fischer
14;50;6291625;SCHIEDER Florian;1995;ITA;1;56.72;1.43;40.58;Atomic
15;30;54157;DANKLMAIER Daniel;1993;AUT;1;56.75;1.46;41.42;Atomic
16;32;422403;ROEA Henrik;1995;NOR;1;56.86;1.57;44.50;Nordica
17;25;202345;SCHWAIGER Dominik;1991;GER;1;56.91;1.62;45.89;Head
17;15;53980;KRIECHMAYR Vincent;1991;AUT;1;56.91;1.62;45.89;Head
19;10;194858;ALLEGRE Nils;1994;FRA;1;57.14;1.85;52.31;Salomon
20;34;512038;ROGENTIN Stefan;1994;SUI;1;57.15;1.86;52.58;Fischer
21;1;194167;MUZATON Maxence;1990;FRA;1;57.23;1.94;54.81;Rossignol
22;31;512039;ROULIN Gilles;1994;SUI;1;57.30;2.01;56.75;Head
23;40;54080;NEUMAYER Christopher;1992;AUT;1;57.43;2.14;60.36;Salomon
24;12;934643;GOLDBERG Jared;1991;USA;1;57.49;2.20;62.02;Head
25;27;194368;RAFFORT Nicolas;1991;FRA;1;57.50;2.21;62.29;Rossignol
26;7;421483;JANSRUD Kjetil;1985;NOR;1;57.58;2.29;64.50;Head
27;28;194190;ROGER Brice;1990;FRA;1;57.59;2.30;64.78;Rossignol
28;22;293550;MARSAGLIA Matteo;1985;ITA;1;57.60;2.31;65.06;Fischer
29;38;54009;WALDER Christian;1991;AUT;1;57.72;2.43;68.37;Salomon
30;26;50742;REICHELT Hannes;1980;AUT;1;57.74;2.45;68.92;Salomon
30;17;511313;JANKA Carlo;1986;SUI;1;57.74;2.45;68.92;Rossignol
32;21;202059;FERSTL Josef;1988;GER;1;57.85;2.56;71.95;Head
33;39;6290393;CAZZANIGA Davide;1992;ITA;1;57.90;2.61;73.32;Atomic
34;42;103271;THOMSEN Benjamin;1987;CAN;1;57.94;2.65;74.42;Head
35;23;6290985;BUZZI Emanuele;1994;ITA;1;58.13;2.84;79.62;Head
36;47;202762;JOCHER Simon;1996;GER;1;58.16;2.87;80.45;Head
37;33;202525;SCHMID Manuel;1993;GER;1;58.20;2.91;81.54;Rossignol
38;45;194650;PICCARD Roy;1993;FRA;1;58.26;2.97;83.18;Rossignol
39;41;104468;READ Jeffrey;1997;CAN;1;58.33;3.04;85.09;Atomic
40;29;511981;WEBER Ralph;1993;SUI;1;58.54;3.25;90.80;Head
41;18;6530104;BENNETT Bryce;1992;USA;1;58.59;3.30;92.16;Fischer
42;46;511847;MANI Nils;1992;SUI;1;58.60;3.31;92.43;Stoeckli
43;24;192746;THEAUX Adrien;1984;FRA;1;58.83;3.54;98.67;Head
44;36;561216;KLINE Bostjan;1991;SLO;1;58.92;3.63;101.10;Nordica
Conditions on course:;;;;
PARTLY CLOUDY;Snow: HARD;Temperature - Start:;-6°C;Temperature - Finish: -2°C
