Rank;Bib;"FISCode";Name;YB;"NSACode";Run 1;;;Run 2;;;Total;Race;;;;;;;;;;;;;;;Diff.;Points;Ski;;;;;;Time Rank;;;Time Rank;;;;;;
1;6;380335;ZUBCIC Filip;1993;CRO;1;05.03;(6);1;10.03;(2);2:15.06;;0.00;Atomic
2;5;561244;KRANJEC Zan;1992;SLO;1;04.34;(1);1;10.84;(11);2:15.18;0.12;0.90;Rossignol
3;3;512269;ODERMATT Marco;1997;SUI;1;04.80;(2);1;10.56;(8);2:15.36;0.30;2.24;Stoeckli
4;11;512182;MEILLARD Loic;1996;SUI;1;04.83;(4);1;10.89;(12);2:15.72;0.66;4.94;Rossignol
5;2;194364;PINTURAULT Alexis;1991;FRA;1;04.82;(3);1;11.04;(15);2:15.86;0.80;5.98;Head
6;4;531799;FORD Tommy;1989;USA;1;04.94;(5);1;11.10;(18);2:16.04;0.98;7.33;Head
7;37;700830;ZAMPA Adam;1990;SVK;1;06.06;(13);1;10.15;(3);2:16.21;1.15;8.60;Salomon
8;14;194495;FAIVRE Mathieu;1992;FRA;1;06.06;(13);1;10.24;(4);2:16.30;1.24;9.27;Head
9;10;422139;KILDE Aleksander Aamodt;1992;NOR;1;05.38;(7);1;10.99;(14);2:16.37;1.31;9.80;Atomic
10;23;103729;READ Erik;1991;CAN;1;06.70;(23);1;09.84;(1);2:16.54;1.48;11.07;Atomic
11;18;202597;SCHMID Alexander;1994;GER;1;05.57;(9);1;11.08;(17);2:16.65;1.59;11.89;Head
12;8;422729;BRAATHEN Lucas;2000;NOR;1;06.48;(18);1;10.44;(6);2:16.92;1.86;13.91;Atomic
12;1;421669;NESTVOLD-HAUGEN Leif Kristian;1987;NOR;1;05.71;(10);1;11.21;(21);2:16.92;1.86;13.91;Rossignol
14;16;54320;SCHWARZ Marco;1995;AUT;1;06.62;(22);1;10.52;(7);2:17.14;2.08;15.55;Atomic
15;42;422732;McGRATH Atle Lie;2000;NOR;1;06.60;(20);1;10.56;(8);2:17.16;2.10;15.70;Head
16;51;512274;BISSIG Semyel;1998;SUI;1;07.05;(28);1;10.33;(5);2:17.38;2.32;17.35;Atomic
17;12;193967;MUFFAT-JEANDET Victor;1989;FRA;1;06.45;(17);1;11.07;(16);2:17.52;2.46;18.40;Salomon
18;25;103865;PHILP Trevor;1992;CAN;1;05.82;(11);1;11.71;(26);2:17.53;2.47;18.47;Rossignol
19;15;534562;LIGETY Ted;1984;USA;1;06.48;(18);1;11.14;(19);2:17.62;2.56;19.14;Head
20;63;54348;PERTL Adrian;1996;AUT;1;07.00;(26);1;10.77;(10);2:17.77;2.71;20.27;Voelkl
21;27;990048;BORSOTTI Giovanni;1990;ITA;1;06.60;(20);1;11.19;(20);2:17.79;2.73;20.42;Rossignol
22;7;422304;KRISTOFFERSEN Henrik;1994;NOR;1;05.53;(8);1;12.31;(28);2:17.84;2.78;20.79;Rossignol
23;9;990116;de ALIPRANDINI Luca;1990;ITA;1;06.39;(16);1;11.59;(24);2:17.98;2.92;21.84;Salomon
24;66;700879;ZAMPA Andreas;1993;SVK;1;07.20;(30);1;10.95;(13);2:18.15;3.09;23.11;Salomon
25;22;511896;MURISIER Justin;1992;SUI;1;06.92;(25);1;11.45;(22);2:18.37;3.31;24.75;Head
26;19;54031;LEITINGER Roland;1991;AUT;1;07.02;(27);1;11.49;(23);2:18.51;3.45;25.80;Salomon
27;56;180666;TORSTI Samu;1991;FIN;1;06.86;(24);1;11.69;(25);2:18.55;3.49;26.10;Head
28;49;481103;ANDRIENKO Aleksander;1990;RUS;1;07.15;(29);1;11.85;(27);2:19.00;3.94;29.46;Rossignol
Conditions on course:;;;;;;
Run 1 SNOW;Snow:;SOFT;Temperature - Start:;-2°C;Temperature - Finish:;-1°C
Run 2 SNOW;Snow:;SOFT;Temperature - Start:;-2°C;Temperature - Finish:;-1°C
