"";"Rank";"Name";"YB";"NSA";"Ski";"venue";"Disciplina";"temperatura";"vreme";"sneg";"tocke_30"
"1";1;"MAYER Matthias";1990;"AUT";"Head";"Bormio";"DH";-7;"SUNNY";"HARD";100
"2";2;"KRIECHMAYR Vincent";1991;"AUT";"Head";"Bormio";"DH";-7;"SUNNY";"HARD";80
"3";3;"KRYENBUEHL Urs";1994;"SUI";"Fischer";"Bormio";"DH";-7;"SUNNY";"HARD";60
"4";4;"PARIS Dominik";1989;"ITA";"Nordica";"Bormio";"DH";-7;"SUNNY";"HARD";50
"5";5;"CAVIEZEL Mauro";1988;"SUI";"Atomic";"Bormio";"DH";-7;"SUNNY";"HARD";45
"6";6;"KILDE Aleksander Aamodt";1992;"NOR";"Atomic";"Bormio";"DH";-7;"SUNNY";"HARD";40
"7";7;"COCHRAN-SIEGLE Ryan";1992;"USA";"Rossignol";"Bormio";"DH";-7;"SUNNY";"HARD";36
"8";8;"BAILET Matthieu";1996;"FRA";"Salomon";"Bormio";"DH";-7;"SUNNY";"HARD";32
"9";9;"CLAREY Johan";1981;"FRA";"Head";"Bormio";"DH";-7;"SUNNY";"HARD";29
"10";10;"FEUZ Beat";1987;"SUI";"Head";"Bormio";"DH";-7;"SUNNY";"HARD";26
"11";11;"INNERHOFER Christof";1984;"ITA";"Rossignol";"Bormio";"DH";-7;"SUNNY";"HARD";24
"12";12;"ODERMATT Marco";1997;"SUI";"Stoeckli";"Bormio";"DH";-7;"SUNNY";"HARD";22
"13";13;"FRANZ Max";1989;"AUT";"Fischer";"Bormio";"DH";-7;"SUNNY";"HARD";20
"14";14;"BAUMANN Romed";1986;"GER";"Salomon";"Bormio";"DH";-7;"SUNNY";"HARD";18
"15";15;"MARSAGLIA Matteo";1985;"ITA";"Fischer";"Bormio";"DH";-7;"SUNNY";"HARD";16
"16";16;"MUZATON Maxence";1990;"FRA";"Rossignol";"Bormio";"DH";-7;"SUNNY";"HARD";15
"17";17;"MONSEN Felix";1994;"SWE";"Atomic";"Bormio";"DH";-7;"SUNNY";"HARD";14
"18";18;"ROGER Brice";1990;"FRA";"Rossignol";"Bormio";"DH";-7;"SUNNY";"HARD";13
"19";19;"SANDER Andreas";1989;"GER";"Atomic";"Bormio";"DH";-7;"SUNNY";"HARD";12
"20";20;"GOLDBERG Jared";1991;"USA";"Head";"Bormio";"DH";-7;"SUNNY";"HARD";11
"21";21;"SCHMID Manuel";1993;"GER";"Rossignol";"Bormio";"DH";-7;"SUNNY";"HARD";10
