Rank;Bib;"FISCode";Name;YB;"NSACode";;Time;Difference;"Distance(m)";Ski
1;5;53980;KRIECHMAYR Vincent;1991;AUT;1;12.58;;;Head
2;3;512269;ODERMATT Marco;1997;SUI;1;12.70;0.12;3.55;Stoeckli
3;9;53902;MAYER Matthias;1990;AUT;1;13.13;0.55;16.17;Head
4;2;293006;INNERHOFER Christof;1984;ITA;1;13.17;0.59;17.34;Rossignol
5;1;54009;WALDER Christian;1991;AUT;1;13.28;0.70;20.54;Salomon
6;28;104531;CRAWFORD James;1997;CAN;1;13.69;1.11;32.39;Head
7;32;54371;BABINSKY Stefan;1996;AUT;1;13.77;1.19;34.68;Head
8;50;6190176;BAILET Matthieu;1996;FRA;1;13.92;1.34;38.97;Salomon
9;13;200379;SANDER Andreas;1989;GER;1;13.99;1.41;40.97;Atomic
9;10;512182;MEILLARD Loic;1996;SUI;1;13.99;1.41;40.97;Rossignol
11;12;51215;BAUMANN Romed;1986;GER;1;14.10;1.52;44.10;Salomon
12;11;194364;PINTURAULT Alexis;1991;FRA;1;14.14;1.56;45.24;Head
13;25;202059;FERSTL Josef;1988;GER;1;14.18;1.60;46.37;Head
14;4;191740;CLAREY Johan;1981;FRA;1;14.28;1.70;49.21;Head
15;35;501987;MONSEN Felix;1994;SWE;1;14.31;1.73;50.05;Atomic
16;39;53975;HEMETSBERGER Daniel;1991;AUT;1;14.33;1.75;50.62;Fischer
17;40;202345;SCHWAIGER Dominik;1991;GER;1;14.36;1.78;51.47;Head
18;43;104468;READ Jeffrey;1997;CAN;1;14.40;1.82;52.59;Atomic
19;24;194190;ROGER Brice;1990;FRA;1;14.55;1.97;56.81;Rossignol
20;8;53817;FRANZ Max;1989;AUT;1;14.60;2.02;58.22;Fischer
21;36;104272;SEGER Brodie;1995;CAN;1;14.61;2.03;58.50;Atomic
22;6;511852;CAVIEZEL Gino;1992;SUI;1;14.62;2.04;58.78;Dynastar
23;44;293550;MARSAGLIA Matteo;1985;ITA;1;14.69;2.11;60.74;Fischer
24;14;194298;GIEZENDANNER Blaise;1991;FRA;1;14.74;2.16;62.14;Atomic
25;17;291459;PARIS Dominik;1989;ITA;1;14.76;2.18;62.69;Nordica
26;29;192746;THEAUX Adrien;1984;FRA;1;14.79;2.21;63.53;Head
27;15;530874;GANONG Travis;1988;USA;1;14.82;2.24;64.37;Atomic
28;22;512038;ROGENTIN Stefan;1994;SUI;1;14.83;2.25;64.65;Fischer
29;18;50742;REICHELT Hannes;1980;AUT;1;14.88;2.30;66.04;Salomon
30;46;934643;GOLDBERG Jared;1991;USA;1;15.06;2.48;71.04;Head
31;30;561216;KLINE Bostjan;1991;SLO;1;15.28;2.70;77.11;Nordica
32;23;561310;HROBAT Miha;1995;SLO;1;15.66;3.08;87.52;Atomic
33;33;511981;WEBER Ralph;1993;SUI;1;15.70;3.12;88.61;Head
34;27;512039;ROULIN Gilles;1994;SUI;1;15.72;3.14;89.16;Head
35;21;54157;DANKLMAIER Daniel;1993;AUT;1;15.95;3.37;95.40;Atomic
36;38;6530104;BENNETT Bryce;1992;USA;1;16.09;3.51;99.18;Fischer
37;49;221117;GOWER Jack;1994;GBR;1;17.68;5.10;141.16;Salomon
Conditions on course:;;;;
PARTLY CLOUDY;Snow: HARD;Temperature - Start:;-8°C;Temperature - Finish: -6°C
