Rank;Bib;"FISCode";Name;YB;"NSACode";;Time;Difference;"Distance(m)";Ski
1;5;511513;CAVIEZEL Mauro;1988;SUI;1;01.34;;;Atomic
2;6;422310;SEJERSTED Adrian Smiseth;1994;NOR;1;01.44;0.10;3,08;Atomic
3;8;54009;WALDER Christian;1991;AUT;1;01.88;0.54;16,51;Salomon
4;19;530874;GANONG Travis;1988;USA;1;02.10;0.76;23,15;Atomic
5;3;53980;KRIECHMAYR Vincent;1991;AUT;1;02.11;0.77;23,46;Head
6;13;421483;JANSRUD Kjetil;1985;NOR;1;02.16;0.82;24,96;Head
7;15;194364;PINTURAULT Alexis;1991;FRA;1;02.20;0.86;26,16;Head
8;10;293006;INNERHOFER Christof;1984;ITA;1;02.22;0.88;26,76;Rossignol
8;4;200379;SANDER Andreas;1989;GER;1;02.22;0.88;26,76;Atomic
10;17;511383;FEUZ Beat;1987;SUI;1;02.25;0.91;27,66;Head
11;9;53902;MAYER Matthias;1990;AUT;1;02.31;0.97;29,45;Head
12;7;422139;KILDE Aleksander Aamodt;1992;NOR;1;02.34;1.00;30,35;Atomic
13;1;512269;ODERMATT Marco;1997;SUI;1;02.35;1.01;30,65;Stoeckli
14;20;53817;FRANZ Max;1989;AUT;1;02.40;1.06;32,14;Fischer
15;21;194190;ROGER Brice;1990;FRA;1;02.41;1.07;32,44;Rossignol
16;11;291459;PARIS Dominik;1989;ITA;1;02.46;1.12;33,93;Nordica
17;28;194298;GIEZENDANNER Blaise;1991;FRA;1;02.48;1.14;34,52;Atomic
18;23;202059;FERSTL Josef;1988;GER;1;02.50;1.16;35,12;Head
19;12;6290985;BUZZI Emanuele;1994;ITA;1;02.51;1.17;35,41;Head
20;34;512042;KRYENBUEHL Urs;1994;SUI;1;02.56;1.22;36,90;Fischer
20;27;561310;HROBAT Miha;1995;SLO;1;02.56;1.22;36,90;Atomic
22;18;194858;ALLEGRE Nils;1994;FRA;1;02.61;1.27;38,38;Salomon
23;58;194368;RAFFORT Nicolas;1991;FRA;1;02.62;1.28;38,67;Rossignol
24;30;512038;ROGENTIN Stefan;1994;SUI;1;02.77;1.43;43,10;Fischer
25;2;50742;REICHELT Hannes;1980;AUT;1;02.82;1.48;44,57;Salomon
26;42;501987;MONSEN Felix;1994;SWE;1;02.88;1.54;46,34;Atomic
26;22;511852;CAVIEZEL Gino;1992;SUI;1;02.88;1.54;46,34;Dynastar
28;41;6290845;BOSCA Guglielmo;1993;ITA;1;02.90;1.56;46,92;Head
29;33;54209;KRENN Christoph;1994;AUT;1;02.94;1.60;48,10;Salomon
30;38;54445;HAASER Raphael;1997;AUT;1;03.00;1.66;49,85;Fischer
31;37;54076;KOECK Niklas;1992;AUT;1;03.03;1.69;50,73;Atomic
32;50;293550;MARSAGLIA Matteo;1985;ITA;1;03.30;1.96;58,58;Fischer
33;44;6530104;BENNETT Bryce;1992;USA;1;03.31;1.97;58,87;Fischer
34;26;561216;KLINE Bostjan;1991;SLO;1;03.35;2.01;60,03;Nordica
35;45;51215;BAUMANN Romed;1986;GER;1;03.36;2.02;60,32;Salomon
35;24;512039;ROULIN Gilles;1994;SUI;1;03.36;2.02;60,32;Head
37;25;561217;KOSI Klemen;1991;SLO;1;03.44;2.10;62,63;Atomic
37;16;191740;CLAREY Johan;1981;FRA;1;03.44;2.10;62,63;Head
39;29;54157;DANKLMAIER Daniel;1993;AUT;1;03.49;2.15;64,07;Atomic
40;31;104531;CRAWFORD James;1997;CAN;1;03.50;2.16;64,36;Head
41;43;104272;SEGER Brodie;1995;CAN;1;03.58;2.24;66,66;Atomic
42;32;512182;MEILLARD Loic;1996;SUI;1;03.67;2.33;69,24;Rossignol
43;40;561255;CATER Martin;1992;SLO;1;03.88;2.54;75,23;Stoeckli
44;35;291318;TONETTI Riccardo;1989;ITA;1;04.09;2.75;81,18;Blizzard
Conditions on course:;;;;
LIGHT SNOW;Snow: COMPACT;Temperature - Start:;-4°C;Temperature - Finish: -2°C
