Rank;Bib;"FISCode";Name;YB;"NSACode";Run 1;;Run 2;;Total;;Race;;;;;;;;;;;;;;Diff.;Points;Ski;;;;;;Time Rank;;Time Rank;;;;;;
1;5;54320;SCHWARZ Marco;1995;AUT;53.44;(4);59.25;(10);1;52.69;;0.00;Atomic
2;15;202451;STRASSER Linus;1992;GER;54.10;(12);58.73;(4);1;52.83;0.14;0.91;Rossignol
3;8;220689;RYDING Dave;1986;GBR;53.77;(8);59.07;(6);1;52.84;0.15;0.97;Dynastar
4;14;54170;MATT Michael;1993;AUT;54.20;(13);58.66;(1);1;52.86;0.17;1.10;Rossignol
5;13;512182;MEILLARD Loic;1996;SUI;53.43;(3);59.45;(13);1;52.88;0.19;1.23;Rossignol
6;22;512203;NEF Tanguy;1996;SUI;53.83;(9);59.09;(7);1;52.92;0.23;1.49;Fischer
7;6;511996;YULE Daniel;1993;SUI;54.32;(15);58.66;(1);1;52.98;0.29;1.88;Fischer
8;7;6190403;NOEL Clement;1997;FRA;53.01;(1);1:00.06;(21);1;53.07;0.38;2.46;Dynastar
9;4;422082;FOSS-SOLEVAAG Sebastian;1991;NOR;53.69;(6);59.41;(12);1;53.10;0.41;2.66;Voelkl
10;10;480736;KHOROSHILOV Alexander;1984;RUS;53.74;(7);59.46;(14);1;53.20;0.51;3.30;Fischer
11;25;54348;PERTL Adrian;1996;AUT;54.68;(19);58.72;(3);1;53.40;0.71;4.60;Voelkl
12;23;53889;HIRSCHBUEHL Christian;1990;AUT;54.56;(18);58.95;(5);1;53.51;0.82;5.31;Rossignol
13;1;511902;ZENHAEUSERN Ramon;1992;SUI;53.92;(10);59.66;(18);1;53.58;0.89;5.77;Rossignol
14;20;292491;MOELGG Manfred;1982;ITA;54.26;(14);59.39;(11);1;53.65;0.96;6.22;Fischer
15;21;561322;HADALIN Stefan;1995;SLO;54.82;(22);59.09;(7);1;53.91;1.22;7.90;Rossignol
16;18;502015;JAKOBSEN Kristoffer;1994;SWE;53.57;(5);1:00.37;(22);1;53.94;1.25;8.10;Fischer
17;2;194364;PINTURAULT Alexis;1991;FRA;54.35;(16);59.62;(17);1;53.97;1.28;8.29;Head
18;26;6291430;MAURBERGER Simon;1995;ITA;54.90;(25);59.11;(9);1;54.01;1.32;8.55;Atomic
19;19;192665;GRANGE Jean-Baptiste;1984;FRA;54.76;(21);59.52;(16);1;54.28;1.59;10.30;Rossignol
20;43;511983;AERNI Luca;1993;SUI;54.82;(22);59.48;(15);1;54.30;1.61;10.43;Fischer
21;38;511899;ROCHAT Marc;1992;SUI;54.54;(17);1:00.05;(20);1;54.59;1.90;12.31;Nordica
22;42;54093;STROLZ Johannes;1992;AUT;55.09;(30);59.79;(19);1;54.88;2.19;14.19;Head
23;47;6531936;WINTERS Luke;1997;USA;54.72;(20);1:01.34;(23);1;56.06;3.37;21.83;Rossignol
24>;40;6291574;SALA Tommaso;1995;ITA;55.06;(29);1:07.45;(24);2;02.51;9.82;63.61;Dynastar
25>;51;291318;TONETTI Riccardo;1989;ITA;54.93;(27);1:08.93;(25);2;03.86;11.17;72.36;Blizzard
26>;11;193967;MUFFAT-JEANDET Victor;1989;FRA;53.42;(2);1:11.10;(26);2;04.52;11.83;76.63;Salomon
Conditions on course:;;;;;;
Run 1	SUNNY;Snow:;HARD;Temperature - Start:;-10°C;Temperature - Finish:;-10°C
Run 2	SUNNY;Snow:;HARD;Temperature - Start:;-6°C;Temperature - Finish:;-6°C
