TELEPASS FIS ALPINE WORLD SKI CHAMPIONSHIPS 2021
Cortina d'Ampezzo (ITA)
Men's Slalom
LONGINES
SUN 21 FEB 2021
OFFICIAL RESULTS
Start Time 13:30
Number of Competitors: 162, Number of NSAs: 58
Rank;Bib;"FIS
Code";Name;YB;"NSA
Code";Run 1;Rank1;Run 2;Rank2;Total;;Diff.;Points;Ski
1;2;422082;FOSS-SOLEVAAG Sebastian;1991;NOR;52.40;(3);54.08;(1);1;46.48;;;Voelkl
2;8;54348;PERTL Adrian;1996;AUT;52.24;(1);54.45;(3);1;46.69;0.21;;Voelkl
3;4;422304;KRISTOFFERSEN Henrik;1994;NOR;52.62;(6);54.32;(2);1;46.94;0.46;;Rossignol
4;17;6293171;VINATZER Alex;1999;ITA;52.38;(2);55.30;(10);1;47.68;1.20;;Nordica
5;9;511996;YULE Daniel;1993;SUI;52.88;(9);54.82;(5);1;47.70;1.22;;Fischer
6;31;380361;RODES Istok;1996;CRO;53.22;(14);54.62;(4);1;47.84;1.36;;Atomic
7;22;561322;HADALIN Stefan;1995;SLO;53.06;(11);54.92;(7);1;47.98;1.50;;Rossignol
7;1;194364;PINTURAULT Alexis;1991;FRA;52.65;(7);55.33;(11);1;47.98;1.50;;Head
9;10;54170;MATT Michael;1993;AUT;53.19;(13);54.85;(6);1;48.04;1.56;;Rossignol
10;29;60253;MARCHANT Armand;1997;BEL;53.13;(12);55.09;(8);1;48.22;1.74;;Salomon
11;3;511902;ZENHAEUSERN Ramon;1992;SUI;53.89;(21);55.09;(8);1;48.98;2.50;;Rossignol
12;30;380334;VIDOVIC Matej;1993;CRO;53.44;(16);55.58;(12);1;49.02;2.54;;Head
13;34;6532592;RITCHIE Benjamin;2000;USA;53.51;(17);55.72;(13);1;49.23;2.75;;Dynastar
14;19;292491;MOELGG Manfred;1982;ITA;53.64;(20);55.89;(14);1;49.53;3.05;;Fischer
15;15;202451;STRASSER Linus;1992;GER;53.95;(23);55.89;(14);1;49.84;3.36;;Rossignol
16;49;481785;EFIMOV Simon;1996;RSF;53.55;(19);56.75;(16);1;50.30;3.82;;Head
17;36;150743;BERNDT Ondrej;1988;CZE;54.75;(27);57.25;(17);1;52.00;5.52;;Atomic
18;51;561378;MAROVT Tijan;1998;SLO;55.30;(28);57.60;(18);1;52.90;6.42;;Head
19;44;561313;DVORNIK Aljaz;1995;SLO;56.31;(32);58.01;(19);1;54.32;7.84;;Atomic
20;50;491876;PUENTE TASIAS Alejandro;1994;ESP;55.89;(31);58.69;(20);1;54.58;8.10;;Rossignol
21;5;6190403;NOEL Clement;1997;FRA;52.58;(5);1:04.03;(29);1;56.61;10.13;;Dynastar
22;60;481897;ALEKHIN Nikita;1998;RSF;56.48;(33);1:00.29;(21);1;56.77;10.29;;Rossignol
23;66;270061;COMERFORD Cormac;1996;IRL;59.37;(40);1:00.67;(22);2;00.04;13.56;;
24;73;700973;BALAZ Filip;2001;SVK;58.28;(38);1:02.27;(24);2;00.55;14.07;;
25;84;240139;KEKESI Marton;1995;HUN;1:00.12;(41);1:00.87;(23);2;00.99;14.51;;
26;64;170151;DYRBYE Casper;1996;DEN;58.87;(39);1:02.48;(25);2;01.35;14.87;;
27;58;30149;SIMARI BIRKNER Cristian Javier;1980;ARG;58.17;(37);1:03.65;(27);2;01.82;15.34;;
28;79;360046;OSCH Matthieu;1999;LUX;1:00.21;(42);1:03.18;(26);2;03.39;16.91;;Kaestle
29;80;800013;TOLA Erjon;1986;ALB;1:01.20;(43);1:03.96;(28);2;05.16;18.68;;
30;88;690694;KOVBASNYUK Ivan;1993;UKR;1:02.07;(46);1:05.12;(30);2;07.19;20.71;;
31;87;750089;DEHARI Dardan;1990;MKD;1:02.42;(47);1:07.21;(32);2;09.63;23.15;;
32;94;942023;TAHIRI Albin;1989;KOS;1:04.63;(49);1;07.84;(33);2:12.47;25.99;;
33;96;340495;ARNOUK Cesar;2000;LBN;1:06.17;(52);1;06.92;(31);2:13.09;26.61;
34;89;260111;KIA SHEMSHAKI Behnam;1990;IRI;1:06.67;(53);1;09.53;(34);2:16.20;29.72;
35;98;450038;TAMAGNINI Alberto;2002;SMR;1:06.97;(54);1;11.14;(35);2:18.11;31.63;
36;91;160106;KOUYOUMDJIAN Yianno;1997;CYP;1:06.11;(51);1;16.63;(36);2:22.74;36.26;
37;97;960300;GOUTT Yohan Goncalves;1994;TLS;1:12.62;(55);1;20.60;(37);2:33.22;46.74;
DID NOT QUALIFY FOR FINAL RACE IN QUALIFICATION RACE: 12 competitors
38;37;230728;TZIOVAS Nikolaos;1997;GRE;53.07;(27);51.67;(25);1:44.74
39;40;240166;TRUNK Tamas;2003;HUN;52.51;(22);52.77;(28);1:45.28
40;71;250459;GUDMUNDSSON Gauti;2002;ISL;57.63;(39);53.02;(30);1:50.65
41;96;590038;BRANCAL Ricardo;1996;POR;58.20;(42);55.77;(35);1:53.97
42;85;80082;HOLM Christopher Rubens;2004;BRA;57.88;(40);56.36;(36);1:54.24
42;63;260241;BAHA Nima;1996;IRI;56.50;(33);57.74;(39);1:54.24
44;73;550121;ABELE Gustavs Harijs;2003;LAT;59.97;(45);58.10;(41);1:58.07
45;95;450033;GATTI Matteo;2001;SMR;1:00.95;(46);57.47;(38);1:58.42
SUN 21 FEB 2021 / Cortina d'Ampezzo (ITA) / 0080___________________________________________________________________________________________________________Page 1/4
Data Processing by LONGINES_____________________________________________www.fis-ski.com_______________________________________________________LONGINES Timing
Generation date : SUN 21 FEB 2021	Time : 14:45	Document: C73C 1.0
TELEPASS FIS ALPINE WORLD SKI CHAMPIONSHIPS 2021
Cortina d'Ampezzo (ITA)
LONGINES
t Telepass
Men's Slalom
SUN 21 FEB 2021
Start Time 13:30
OFFICIAL RESULTS
Number of Competitors: 162, Number of NSAs: 58
Rank;Bib;"FIS
Code";Name;YB;"NSA
Code";Run 1;Run 2;Total Diff.;Ski
;;;;;;Time Rank;Time Rank;;
46;77;160114;MAXIM Demetrios Samuel;1998;CYP;1:01.04 (47);58.00 (40);1:59.04;
47;87;780035;LAPIENIS Vakaris Jokubas;2003;LTU;58.96 (44);1:03.24 (43);2:02.20;
48;81;942041;PUPOVCI Arbi;2000;KOS;1:05.78 (48);59.31 (42);2:05.09;
49;109;890009;SHRESTHA Saphal Ram;1998;NEP;1:10.04 (49);1:05.82 (44);2:15.86;
DID NOT FINISH RUN 2: 18 competitors
6;54063;FELLER Manuel;1992;AUT;Atomic
7;54320;SCHWARZ Marco;1995;AUT;Atomic
16;380335;ZUBCIC Filip;1993;CRO;Atomic
20;502015;JAKOBSEN Kristoffer;1994;SWE;Fischer
23;92720;POPOV Albert;1997;BUL;Head
27;103729;READ Erik;1991;CAN;Atomic
33;6531063;GINNIS A.;1994;GRE;Fischer
38;6531936;WINTERS Luke;1997;USA;Rossignol
43;6532163;SEYMOUR Jett;1998;USA;
45;491879;SALARICH Joaquim;1994;ESP;Rossignol
52;390044;LAINE Tormis;2000;EST;Kaestle
54;60256;VERBEKE Tom;1997;BEL;
67;30422;VALLECILLO Juan Pablo;1999;ARG;
71;40624;ADAMS Jack;1998;NZL;
83;6190671;POETTOZ Michael;1998;COL;
85;6191069;ARANJO Baptiste;2001;POR;
92;740039;HARUTYUNYAN Harutyun;2000;ARM;
93;6191137;VIANO Richardson;2002;HAI;
DID NOT FINISH RUN 1: 44 competitors
11;480736;KHOROSHILOV Alexander;1984;RSF;Fischer
12;512182;MEILLARD Loic;1996;SUI;Rossignol
13;193967;MUFFAT-JEANDET Victor;1989;FRA;Salomon
14;220689;RYDING Dave;1986;GBR;Fischer
18;511983;AERNI Luca;1993;SUI;Fischer
21;192665;GRANGE Jean-Baptiste;1984;FRA;Rossignol
24;293797;GROSS Stefano;1986;ITA;Voelkl
25;422507;HAUGAN Timon;1996;NOR;Head
28;202520;HOLZMANN Sebastian;1993;GER;Rossignol
32;561244;KRANJEC Zan;1992;SLO;Rossignol
35;380377;KOLEGA Samuel;1999;CRO;Rossignol
37;151238;ZABYSTRAN Jan;1998;CZE;Atomic
39;221223;MAJOR Billy;1996;GBR;Fischer
40;491853;del CAMPO Juan;1994;ESP;Nordica
41;221236;TAYLOR Laurie;1996;GBR;Fischer
42;502433;HANSSON William;2001;SWE;Rossignol
46;150644;KRYZL Krystof;1986;CZE;Atomic
47;6300464;KOYAMA Yohei;1998;JPN;Head
48;60236;van den BROECKE Dries;1995;BEL;Voelkl
53;6531160;LEEVER Alex;1995;USA;Fischer
55;6300451;KATO Seigo;1998;JPN;Atomic
56;320389;HONG Dongkwan;1995;KOR;
57;92719;ZLATKOV Kamen;1997;BUL;
59;250353;SNORRASON Sturla Snaer;1994;ISL;
61;710362;LOKMIC Emir;1997;BIH;
62;390041;LUIK Juhan;1997;EST;
63;310415;STANISIC Strahinja;1995;SRB;
65;92776;ZLATKOV Kalin;2001;BUL;Head
68;280034;BIRAN Itamar;1998;ISR;
69;230667;PROIOS Ioannis;1995;GRE;
70;60286;GRANDJEAN Eliot;2000;BEL;
SUN 21 FEB 2021 / Cortina d'Ampezzo (ITA) / 0080___________________________________________________________________________________________________________Page 2/4
Data Processing by LONGINES_____________________________________________www.fis-ski.com_______________________________________________________LONGINES Timing
Generation date : SUN 21 FEB 2021	Time : 14:45	Document: C73C 1.0
TELEPASS FIS ALPINE WORLD SKI CHAMPIONSHIPS 2021
Cortina d'Ampezzo (ITA)
LONGINES
t Telepass
Men's Slalom
SUN 21 FEB 2021
Start Time 13:30
OFFICIAL RESULTS
Number of Competitors: 162, Number of NSAs: 58
;;FIS;NSA;Run 1;Run 2;;;
Rank;Bib;Name;YB;;;Total;Diff.;Ski
;;Code;Code;Time Rank;Time Rank;;;
72;780023;DRUKAROV Andrej;1999;LTU;
74;80077;MACEDO Michel;1998;BRA;
75;230651;ANTONIOU Ioannis;1995;GRE;
76;550078;OPMANIS Elvis;1997;LAT;
77;110350;FIGUEROA Andres;1996;CHI;
78;92799;STOILOV Konstantin;2002;BUL;
81;170159;VORRE Marcus;1998;DEN;Atomic
82;310438;SALIHOVIC Eldar;1999;MNE;
86;800030;QERIMI Kevin;2004;ALB;
90;460122;STEFANESCU Alexandru Stefan;1999;ROU;
95;680068;JAPARIDZE Besarion;1998;GEO;
99;130053;TANG CalcyNing-Chien;2004;TPE;
100;790022;AOUICH Yassine;1990;MAR;
DISQUALIFIED RUN 1: 1 competitor
26 293098 RAZZOLI Giuliano
1984 ITA Gate 10
Rule 629.3	Fischer
DID NOT FINISH RUN 2 IN QUALIFICATION RACE: 3 competitors
61;310440;DJORDJEVIC Mihajlo;1999;SRB
67;750108;PETKOV Viktor;1999;MKD
88;800027;LEONETTI Ezio;2002;ALB
DID NOT FINISH RUN 1 IN QUALIFICATION RACE: 43 competitors
1;410364;FEASEY Willis;1992;NZL;
3;30388;BIRKNER de MIGUEL Tomas;1997;ARG;
9;550066;ZVEJNIEKS Miks;1995;LAT;
16;240142;SZOLLOS Benjamin;1996;ISR;Kaestle
17;710353;SLJIVIC Marko;1996;BIH;
18;40612;SCOTT Alec;1997;IRL;
21;240148;SZOLLOS Barnabas;1998;ISR;Kaestle
26;40656;McADAM Hugh;2000;AUS;
29;550086;GEDRA Zaks;1998;LAT;
41;240168;URY Balint;2003;HUN;
43;240149;NAGY Bence;1998;HUN;
50;710367;TERZIC Dino;2000;BIH;
51;110473;PIROZZI Nicolas;2002;CHI;
53;422667;GUDMUNDSSON Bjarki;1999;ISL;
58;170166;JENSEN Christian Skov;2000;DEN;
59;310439;BLAGOJEVIC Rastko;1999;SRB;
60;250411;THORDARSON Georg Fannar;1999;ISL;
62;260097;SAVEH SHEMSHAKI Porya;1987;IRI;
64;310449;ZLATKOVIC Veselin;2001;SRB;
65;690786;MARIICHYN Maksym;2003;UKR;
66;710378;KUNOVAC Harun;2001;BIH;
70;690753;KARPUSHYN Mykhailo;1998;UKR;
74;750112;LAZARESKI Mirko;2003;MKD;
75;740036;KARAPETYAN Ashot;1999;ARM;
76;690737;TSIBELENKO Levko;1996;UKR;
83;680063;JAPHARIDZE Soso;1996;GEO;
84;310388;KOSIC Bojan;1990;MNE;
89;680075;ZHORZHOLIANI Sandro;2001;GEO;
90;340230;FENIANOS Naim;1992;LBN;
91;80083;CAPUTI Valentino;2004;BRA;
