Rank;Bib;"FISCode";Name;YB;"NSACode";Run 1;;Run 2;;Total;;Race;;;;;;;;;;;;;;Diff.;Points;Ski;;;;;;Time Rank;;Time Rank;;;;;;
1;7;54063;FELLER Manuel;1992;AUT;53.73;(6);53.51;(4);1;:47.24;;0.00;Atomic
2;2;6190403;NOEL Clement;1997;FRA;52.97;(2);54.35;(10);1;:47.32;0.08;0.54;Dynastar
3;12;194364;PINTURAULT Alexis;1991;FRA;53.88;(9);53.47;(2);1;:47.35;0.11;0.75;Head
4;17;6293171;VINATZER Alex;1999;ITA;53.79;(8);53.77;(5);1;:47.56;0.32;2.18;Nordica
5;8;512182;MEILLARD Loic;1996;SUI;53.76;(7);53.81;(6);1;:47.57;0.33;2.25;Rossignol
6;1;54320;SCHWARZ Marco;1995;AUT;52.79;(1);55.21;(15);1;:48.00;0.76;5.17;Atomic
7;18;511983;AERNI Luca;1993;SUI;55.18;(16);53.20;(1);1;:48.38;1.14;7.76;Fischer
8;14;193967;MUFFAT-JEANDET Victor;1989;FRA;54.25;(10);54.17;(9);1;:48.42;1.18;8.03;Salomon
9;5;202451;STRASSER Linus;1992;GER;53.51;(5);54.97;(13);1;:48.48;1.24;8.44;Rossignol
10;23;512203;NEF Tanguy;1996;SUI;55.11;(15);53.87;(7);1;:48.98;1.74;11.84;Fischer
11;25;53889;HIRSCHBUEHL Christian;1990;AUT;55.55;(17);53.49;(3);1;:49.04;1.80;12.25;Rossignol
12;6;422304;KRISTOFFERSEN Henrik;1994;NOR;54.51;(13);54.71;(12);1;:49.22;1.98;13.48;Rossignol
13;16;380335;ZUBCIC Filip;1993;CRO;54.36;(12);55.23;(16);1;:49.59;2.35;16.00;Atomic
14;24;561322;HADALIN Stefan;1995;SLO;55.79;(19);53.96;(8);1;:49.75;2.51;17.09;Rossignol
14;15;220689;RYDING Dave;1986;GBR;54.69;(14);55.06;(14);1;:49.75;2.51;17.09;Fischer
16;19;480736;KHOROSHILOV Alexander;1984;RUS;55.73;(18);54.62;(11);1;:50.35;3.11;21.17;Fischer
Conditions on course:;;;;;;;;;
Run 1;MOSTLY CLOUDY;Snow: HARD;;Temperature - Start:;-10°C;;Temperature - Finish:;-9°C;
Run 2;SNOW;Snow: HARD;;Temperature - Start:;-6°C;;Temperature - Finish:;-5°C;
