"";"Season";"Winner";"NSA";"WINS";"TOP3"
"1";2021;"Pinturault Alexis";"FRA";5;9
"2";2020;"Kilde Aleksander Aamodt";"NOR";1;7
"3";2019;"Hirscher Marcel";"AUT";9;15
"4";2018;"Hirscher Marcel";"AUT";13;16
"5";2017;"Hirscher Marcel";"AUT";6;16
"6";2016;"Hirscher Marcel";"AUT";8;19
"7";2015;"Hirscher Marcel";"AUT";8;14
"8";2014;"Hirscher Marcel";"AUT";5;13
"9";2013;"Hirscher Marcel";"AUT";6;18
"10";2012;"Hirscher Marcel";"AUT";9;14
"11";2011;"Kostelic Ivica";"CRO";7;10
"12";2010;"Janka Carlo";"SUI";6;10
"13";2009;"Svindal Aksel-Lund";"NOR";3;7
"14";2008;"Miller Bode";"USA";6;11
"15";2007;"Svindal Aksel-Lund";"NOR";5;8
"16";2006;"Raich Benjamin";"AUT";7;12
"17";2005;"Miller Bode";"USA";7;14
"18";2004;"Maier Hermann";"AUT";5;9
"19";2003;"Eberharter Stephan";"AUT";9;13
"20";2002;"Eberharter Stephan";"AUT";10;17
"21";2001;"Maier Hermann";"AUT";13;15
"22";2000;"Maier Hermann";"AUT";10;22
"23";1999;"Kjus Lasse";"NOR";6;11
"24";1998;"Maier Hermann";"AUT";10;19
"25";1997;"Alphand Luc";"FRA";6;9
"26";1996;"Kjus Lasse";"NOR";4;10
"27";1995;"Tomba Alberto";"ITA";11;11
"28";1994;"Aamodt Kjetil Andre";"NOR";4;8
"29";1993;"Girardelli Marc";"LUX";6;7
"30";1992;"Accola Paul";"SUI";7;14
"31";1991;"Girardelli Marc";"LUX";3;9
"32";1990;"Zurbriggen Pirmin";"SUI";6;9
"33";1989;"Girardelli Marc";"LUX";9;13
"34";1988;"Zurbriggen Pirmin";"SUI";3;12
"35";1987;"Zurbriggen Pirmin";"SUI";11;15
"36";1986;"Girardelli Marc";"LUX";3;9
"37";1985;"Girardelli Marc";"LUX";11;14
"38";1984;"Zurbriggen Pirmin";"SUI";4;12
"39";1983;"Mahre Phil";"USA";6;13
"40";1982;"Mahre Phil";"USA";9;21
"41";1981;"Mahre Phil";"USA";6;12
"42";1980;"Wenzel Andreas";"LIE";3;6
"43";1979;"Luescher Peter";"SUI";3;10
"44";1978;"Stenmark Ingemar";"SWE";7;13
"45";1977;"Stenmark Ingemar";"SWE";10;14
"46";1976;"Stenmark Ingemar";"SWE";6;12
"47";1975;"Thoeni Gustav";"ITA";6;11
"48";1974;"Gros Piero";"ITA";5;7
"49";1973;"Thoeni Gustav";"ITA";3;7
"50";1972;"Thoeni Gustav";"ITA";1;7
"51";1971;"Thoeni Gustav";"ITA";4;12
"52";1970;"Schranz Karl";"AUT";4;8
"53";1969;"Schranz Karl";"AUT";5;8
"54";1968;"Killy Jean Claude";"FRA";6;10
"55";1967;"Killy Jean Claude";"FRA";12;14
